run_id,score0,score1,score2,score3,score4,score5,score6,score7,score8,score9,universal_score
319,-217.88,-217.58,-215.78,-214.68,-191.11,-186.51,-183.78,-182.10,-177.92,-177.89,-204.7341818181818
441,-190.12,-180.26,-179.61,-178.18,-175.14,-173.71,-167.27,-166.98,-166.66,-165.81,-178.11309090909094
235,-218.13,-209.51,-207.75,-207.19,-200.05,-198.09,-196.85,-194.28,-191.87,-187.97,-205.67127272727274
547,-214.67,-211.43,-209.64,-205.56,-191.09,-189.49,-186.79,-184.22,-184.18,-182.97,-202.01363636363635
256,-198.16,-195.26,-195.21,-186.38,-185.46,-185.23,-179.41,-178.09,-176.46,-175.42,-189.53527272727274
748,-166.84,-140.75,-134.77,-133.18,-132.42,-131.87,-131.63,-130.49,-130.32,-129.73,-140.1418181818182
598,-191.65,-188.06,-180.60,-173.01,-167.85,-166.37,-160.68,-159.51,-158.83,-156.69,-176.3538181818182
783,-212.70,-201.44,-201.06,-198.75,-198.56,-198.21,-195.01,-191.69,-184.62,-182.52,-200.52672727272727
369,-240.53,-207.90,-203.73,-199.52,-196.93,-192.43,-191.79,-190.21,-187.68,-187.36,-206.31127272727275
575,-244.62,-218.02,-215.53,-211.39,-206.35,-201.50,-201.20,-200.94,-200.46,-196.77,-215.69563636363637
253,-164.08,-159.03,-153.69,-151.93,-151.59,-150.12,-147.56,-147.14,-146.73,-145.69,-154.4736363636364
526,-166.50,-157.77,-155.26,-152.98,-151.00,-148.18,-146.50,-144.91,-144.85,-144.22,-154.53490909090908
581,-256.26,-241.09,-226.77,-214.85,-210.94,-205.02,-200.85,-200.19,-199.54,-197.87,-224.40327272727274
771,-157.88,-157.30,-156.00,-152.90,-151.12,-150.52,-149.51,-148.69,-147.66,-147.41,-153.79927272727275
268,-182.50,-179.65,-178.87,-177.77,-177.63,-177.06,-176.71,-175.61,-170.53,-169.84,-178.41545454545457
145,-216.20,-201.15,-197.33,-190.26,-190.08,-178.40,-178.16,-175.74,-170.98,-168.13,-193.9134545454545
460,-239.36,-223.98,-220.99,-215.63,-214.72,-207.76,-207.15,-207.10,-200.58,-199.68,-219.35654545454543
773,-222.71,-207.72,-199.42,-198.33,-196.96,-195.99,-194.53,-194.30,-191.51,-191.11,-203.22018181818186
727,-227.55,-213.13,-200.62,-198.19,-197.92,-197.76,-196.26,-195.12,-192.64,-190.75,-205.6129090909091
755,-236.02,-191.88,-186.53,-183.85,-183.57,-183.00,-181.94,-179.39,-177.69,-175.76,-194.1781818181818
760,-168.01,-166.20,-165.99,-165.54,-160.67,-157.66,-154.48,-149.77,-145.14,-144.92,-162.13363636363638
498,-199.76,-197.47,-188.55,-183.63,-182.42,-178.57,-175.93,-168.58,-167.78,-166.17,-186.67636363636362
715,-213.13,-210.72,-208.12,-207.14,-206.75,-200.10,-199.41,-189.48,-188.50,-186.50,-205.69636363636363
050,-162.25,-161.27,-158.09,-151.56,-151.44,-151.08,-149.57,-148.70,-147.61,-146.31,-155.4458181818182
205,-203.78,-194.74,-194.13,-193.16,-192.03,-191.00,-190.41,-190.06,-186.45,-185.10,-194.41127272727272
132,-135.63,-129.70,-112.43,-111.23,-109.90,-108.53,-106.87,-106.73,-106.35,-103.95,-117.6003636363636
254,-177.58,-168.35,-163.86,-163.43,-162.94,-160.17,-159.28,-159.23,-158.96,-158.75,-165.742
655,-203.02,-202.13,-185.01,-182.73,-175.90,-173.34,-173.23,-172.76,-164.27,-163.93,-186.0787272727273
409,-211.92,-189.51,-179.99,-179.53,-179.41,-177.74,-173.64,-172.53,-172.08,-169.53,-185.68036363636364
155,-180.04,-177.94,-166.28,-163.86,-155.66,-154.34,-154.32,-153.40,-153.20,-152.58,-165.84072727272726
591,-234.05,-226.98,-215.25,-214.43,-213.81,-208.72,-206.75,-205.75,-202.42,-200.50,-217.86145454545456
343,-225.54,-191.75,-175.71,-175.48,-173.10,-170.95,-169.92,-168.27,-166.31,-164.41,-185.27381818181817
507,-151.59,-149.08,-142.42,-134.67,-134.52,-133.85,-132.53,-130.10,-128.97,-128.34,-140.41345454545453
735,-190.93,-189.97,-189.38,-184.38,-183.62,-181.84,-181.25,-180.67,-179.97,-178.86,-186.20836363636366
622,-214.30,-205.72,-198.60,-195.72,-192.14,-191.58,-188.81,-188.80,-188.79,-186.99,-199.09581818181815
363,-176.10,-163.23,-156.80,-155.61,-155.31,-150.96,-147.16,-147.03,-145.49,-141.26,-158.58854545454543
478,-253.76,-249.62,-206.83,-201.53,-195.06,-194.54,-194.43,-191.13,-190.59,-189.70,-216.6287272727273
243,-140.71,-138.04,-128.36,-126.70,-126.61,-122.14,-118.88,-118.40,-117.69,-116.60,-129.38727272727272
036,-209.33,-206.46,-206.03,-204.12,-197.40,-190.10,-189.27,-188.93,-187.69,-187.24,-200.90745454545456
436,-237.08,-232.22,-213.43,-209.36,-207.84,-203.73,-200.86,-198.97,-198.52,-197.84,-216.2665454545455
443,-191.73,-173.00,-163.32,-160.89,-156.62,-151.70,-148.83,-147.68,-146.76,-146.18,-165.15218181818187
463,-189.36,-184.54,-176.55,-172.93,-172.81,-169.56,-169.07,-167.08,-164.00,-159.96,-176.86381818181817
493,-191.72,-173.06,-169.68,-164.85,-164.37,-158.34,-150.48,-148.34,-147.05,-146.74,-168.21509090909092
339,-222.00,-200.46,-177.68,-177.32,-176.71,-175.32,-175.13,-172.31,-172.24,-171.16,-188.3049090909091
566,-172.21,-154.88,-153.82,-153.08,-148.13,-146.83,-146.16,-145.30,-144.71,-144.24,-154.45945454545452
703,-184.74,-183.67,-179.80,-179.19,-178.33,-173.68,-173.48,-171.28,-170.84,-170.69,-179.12127272727272
345,-176.38,-176.28,-166.13,-165.88,-159.93,-155.24,-150.86,-150.05,-149.00,-148.16,-165.0190909090909
009,-170.94,-168.80,-160.24,-158.04,-157.52,-155.58,-154.84,-153.65,-151.22,-148.62,-161.29436363636364
331,-189.86,-183.75,-167.38,-163.88,-160.85,-152.02,-151.67,-150.82,-145.00,-144.94,-168.3241818181818
400,-238.58,-225.38,-216.41,-214.66,-203.20,-192.75,-191.52,-190.26,-188.50,-188.25,-213.33054545454547
712,-195.00,-189.27,-178.42,-178.32,-175.52,-173.18,-173.16,-173.16,-172.10,-171.71,-181.3832727272727
063,-162.57,-161.16,-139.69,-139.27,-134.01,-128.53,-128.30,-125.77,-123.68,-121.64,-143.17763636363637
341,-177.13,-176.22,-175.33,-170.44,-167.61,-163.14,-158.23,-158.09,-157.21,-156.90,-170.0521818181818
390,-182.76,-180.98,-180.36,-170.88,-170.32,-167.95,-166.85,-165.82,-164.94,-164.43,-174.84181818181816
492,-198.50,-183.07,-175.84,-174.35,-173.60,-169.64,-166.91,-166.63,-165.17,-164.68,-178.40272727272728
425,-149.99,-143.29,-138.97,-137.09,-134.39,-129.77,-128.59,-128.52,-128.41,-128.34,-138.20309090909092
068,-170.24,-169.72,-169.26,-166.07,-165.78,-165.27,-164.94,-156.92,-155.36,-154.16,-166.59781818181816
574,-189.55,-175.15,-174.24,-166.28,-165.60,-159.43,-159.27,-159.02,-156.67,-156.58,-170.99163636363636
776,-234.56,-227.00,-225.60,-224.76,-207.29,-207.26,-206.42,-202.43,-201.68,-191.00,-219.52890909090908
082,-182.55,-179.63,-170.64,-155.65,-154.07,-152.84,-151.95,-150.76,-149.64,-148.92,-165.3407272727273
711,-226.84,-213.91,-205.28,-202.54,-191.44,-188.41,-188.16,-184.28,-183.80,-177.63,-203.54563636363633
315,-192.96,-191.59,-169.11,-168.43,-164.16,-160.90,-159.52,-154.72,-152.13,-149.47,-173.2950909090909
679,-196.52,-193.55,-180.95,-180.86,-180.07,-174.01,-173.40,-172.88,-172.05,-171.76,-183.62436363636363
143,-196.49,-186.43,-183.46,-178.14,-174.82,-171.26,-170.41,-169.57,-166.58,-164.19,-180.9154545454545
024,-217.09,-206.58,-193.64,-183.96,-180.72,-180.48,-178.72,-177.10,-176.70,-175.79,-193.25545454545454
216,-186.18,-185.68,-183.51,-181.02,-180.06,-176.54,-173.35,-172.88,-172.62,-166.19,-180.994
097,-243.20,-220.83,-219.30,-209.04,-193.10,-193.03,-191.84,-190.41,-188.55,-188.42,-212.09109090909092
127,-249.99,-248.72,-230.19,-226.75,-215.17,-212.50,-211.46,-200.98,-199.82,-193.28,-228.4067272727273
580,-240.60,-238.84,-230.49,-223.18,-218.16,-213.14,-207.92,-207.89,-207.79,-207.65,-225.72690909090912
159,-199.02,-182.55,-171.72,-171.08,-168.95,-167.22,-164.97,-160.10,-159.37,-157.21,-175.8254545454545
257,-182.43,-177.83,-157.44,-157.22,-151.42,-145.74,-143.28,-141.26,-140.21,-139.57,-160.708
699,-194.38,-191.29,-187.54,-184.01,-179.63,-179.27,-178.83,-177.87,-177.23,-174.68,-185.56363636363633
211,-199.95,-198.45,-193.42,-191.19,-188.15,-183.58,-178.98,-176.90,-176.43,-174.60,-190.7658181818182
281,-192.91,-173.37,-169.97,-169.25,-168.09,-168.03,-163.83,-160.03,-160.02,-158.26,-172.66072727272729
578,-204.60,-196.68,-190.61,-187.50,-186.49,-185.50,-183.23,-183.03,-177.87,-177.56,-191.18636363636364
069,-224.46,-221.04,-215.84,-211.67,-201.58,-199.35,-199.02,-197.33,-197.01,-194.07,-211.35927272727272
726,-207.65,-197.58,-196.32,-193.42,-193.10,-185.86,-182.90,-181.43,-181.38,-180.46,-194.29509090909087
152,-157.51,-144.52,-143.31,-141.57,-140.36,-139.63,-137.00,-136.37,-135.77,-134.57,-143.94145454545452
510,-203.44,-195.17,-187.55,-184.90,-181.91,-181.27,-181.19,-176.15,-175.55,-172.85,-188.37454545454548
624,-211.46,-211.27,-199.47,-195.18,-191.76,-190.23,-187.47,-185.54,-183.17,-181.30,-198.7981818181818
765,-188.64,-185.36,-184.58,-183.36,-174.51,-172.66,-172.54,-172.43,-170.32,-170.07,-180.78763636363635
481,-223.73,-211.52,-199.56,-195.75,-189.97,-186.49,-184.66,-184.42,-180.21,-179.49,-200.21436363636363
799,-159.21,-150.70,-149.64,-148.76,-147.03,-143.31,-142.36,-140.71,-139.26,-138.47,-148.9841818181818
595,-202.74,-197.56,-180.54,-172.09,-169.82,-166.64,-166.22,-165.00,-164.10,-162.13,-181.03127272727272
456,-219.23,-184.84,-183.67,-182.57,-182.24,-180.21,-179.65,-179.32,-178.58,-177.37,-188.8870909090909
259,-159.01,-142.48,-140.22,-139.07,-138.56,-136.99,-136.54,-136.21,-135.79,-135.70,-142.65545454545455
